iter	RMSE
0	74058.1136
1	69648.65153
2	65196.48354
3	61360.37636
4	58297.81916
5	55293.21887
6	52685.93287
7	50112.19095
8	47701.16446
9	45633.57222
10	43625.85505
11	41835.4926
12	40368.40438
13	38809.72075
14	37263.61055
15	36199.54316
16	34981.88994
17	33988.8941
18	32923.32194
19	31943.54087
20	31106.25629
21	30378.32061
22	29605.54843
23	28955.00014
24	28409.35235
25	27753.03964
26	27280.22029
27	26712.56825
28	26131.73653
29	25686.71484
30	25281.82027
31	24972.46134
32	24652.21424
33	24284.13609
34	23991.48279
35	23712.24704
36	23448.1374
37	23126.82096
38	22809.44246
39	22539.35128
40	22234.25784
41	22018.28012
42	21733.84696
43	21556.81639
44	21427.37302
45	21150.68239
46	20980.16297
47	20850.21477
48	20754.03945
49	20535.98521
50	20402.94153
51	20257.90892
52	20142.89276
53	19957.33132
54	19808.00387
55	19706.53851
56	19623.09014
57	19447.85468
58	19300.08684
59	19223.80724
60	19117.58851
61	19041.49486
62	18957.0167
63	18837.17962
64	18735.44806
65	18621.27752
66	18555.80649
67	18477.20729
68	18394.18179
69	18263.73623
70	18128.20043
71	18026.16624
72	17972.93985
73	17882.62222
74	17793.94791
75	17705.60337
76	17648.45125
77	17566.86157
78	17493.96376
79	17392.19958
80	17301.38138
81	17256.6596
82	17158.42758
83	17012.49186
84	16924.15846
85	16857.32487
86	16739.98933
87	16681.03666
88	16655.77426
89	16564.21728
90	16506.71164
91	16396.58222
92	16342.45672
93	16269.97093
94	16226.70925
95	16141.61475
96	16068.28759
97	15973.08967
98	15911.01013
99	15799.03052
100	15785.67612
101	15670.42472
102	15570.87265
103	15506.1402
104	15434.92308
105	15346.88172
106	15334.04488
107	15248.85519
108	15181.64677
109	15060.39639
110	14962.07316
111	14875.40615
112	14801.51539
113	14790.87559
114	14777.83102
115	14692.54356
116	14682.50617
117	14586.15798
118	14538.03284
119	14487.75532
120	14418.71419
121	14345.42807
122	14272.66064
123	14199.95845
124	14109.72455
125	14047.42871
126	13994.72132
127	13921.29921
128	13831.53263
129	13776.33581
130	13684.51948
131	13623.29834
132	13570.007
133	13517.9974
134	13477.24773
135	13417.60139
136	13354.85529
137	13320.75255
138	13267.85342
139	13205.50629
140	13169.15541
141	13097.15184
142	13026.27918
143	12968.15603
144	12925.64708
145	12872.67471
146	12802.80914
147	12743.46094
148	12693.21863
149	12646.99802
150	12601.86836
151	12529.92618
152	12485.79985
153	12438.67166
154	12383.821
155	12351.39881
156	12293.22929
157	12239.02889
158	12180.98806
159	12151.82743
160	12139.06918
161	12085.45445
162	12056.39022
163	11979.11321
164	11948.68328
165	11896.70162
166	11852.31652
167	11823.80187
168	11777.83682
169	11734.14572
170	11713.08329
171	11673.71631
172	11634.13409
173	11585.6625
174	11555.09924
175	11518.79922
176	11475.95567
177	11452.16311
178	11419.4677
179	11407.93265
180	11378.03704
181	11315.20947
182	11297.45816
183	11276.22368
184	11230.83775
185	11199.82059
186	11166.91754
187	11120.72608
188	11083.32621
189	11039.97943
190	11010.05241
191	10966.94076
192	10935.63128
193	10892.35394
194	10850.97833
195	10825.38896
196	10796.65682
197	10776.23621
198	10744.02102
199	10708.93011
200	10686.40346
201	10648.21499
202	10640.55192
203	10590.05038
204	10538.89242
205	10492.39177
206	10449.37506
207	10420.9835
208	10388.52154
209	10357.28451
210	10349.67188
211	10301.1743
212	10249.59301
213	10221.5337
214	10190.21512
215	10171.47512
216	10128.84986
217	10099.10045
218	10060.53198
219	10022.69062
220	9984.151086
221	9977.94705
222	9942.958771
223	9925.498838
224	9902.373622
225	9878.462996
226	9847.805317
227	9814.40809
228	9769.889755
229	9752.073061
230	9740.446796
231	9718.885867
232	9698.575001
233	9645.575696
234	9641.548149
235	9636.824099
236	9622.640115
237	9608.678086
238	9576.542869
239	9552.836233
240	9526.015847
241	9500.863753
242	9473.125169
243	9441.731464
244	9420.287869
245	9387.39989
246	9350.868519
247	9317.813255
248	9293.179605
249	9270.625959
250	9252.431266
251	9224.642619
252	9201.872215
253	9163.642619
254	9138.469037
255	9114.073982
256	9098.176543
257	9093.039734
258	9076.882796
259	9073.365258
260	9030.417795
261	8987.088507
262	8957.173782
263	8928.537523
264	8900.8031
265	8887.843647
266	8861.020517
267	8833.23715
268	8823.985959
269	8785.704973
270	8768.660712
271	8736.516238
272	8706.558712
273	8673.659994
274	8654.697053
275	8614.398822
276	8591.190899
277	8570.477089
278	8548.979033
279	8521.731971
280	8519.100171
281	8498.049173
282	8473.71451
283	8451.023191
284	8436.685393
285	8407.867666
286	8382.432538
287	8361.296207
288	8332.640101
289	8306.576987
290	8293.315545
291	8290.639426
292	8249.972874
293	8236.087933
294	8230.021605
295	8202.564533
296	8188.803407
297	8144.216618
298	8126.921191
299	8104.682149
300	8092.27388
301	8067.923203
302	8034.950072
303	8012.403427
304	7992.309008
305	7989.265068
306	7961.720299
307	7942.833134
308	7919.613987
309	7893.013062
310	7865.953398
311	7851.308828
312	7835.065206
313	7833.033198
314	7803.010264
315	7791.478088
316	7789.822279
317	7763.570658
318	7739.476905
319	7730.49858
320	7707.393597
321	7692.158702
322	7649.411634
323	7620.234818
324	7601.069657
325	7585.483487
326	7572.362846
327	7560.978575
328	7552.861612
329	7541.728669
330	7519.407034
331	7502.900129
332	7501.038801
333	7498.837049
334	7485.676682
335	7483.625347
336	7481.905199
337	7456.747653
338	7435.004649
339	7424.085418
340	7413.061297
341	7396.013105
342	7378.85785
343	7358.62836
344	7334.906815
345	7320.394846
346	7284.612187
347	7261.8582
348	7245.985302
349	7219.985074
350	7207.375782
351	7178.448962
352	7159.482918
353	7127.624307
354	7104.518924
355	7090.073188
356	7088.514528
357	7068.443061
358	7052.007558
359	7050.637417
360	7034.442458
361	7010.318698
362	6981.02058
363	6965.089469
364	6936.388526
365	6931.140522
366	6929.846071
367	6927.643119
368	6910.576116
369	6889.33551
370	6876.163415
371	6857.836665
372	6829.383604
373	6813.297743
374	6788.210003
375	6777.741093
376	6762.369697
377	6736.650627
378	6725.571262
379	6711.184701
380	6688.392097
381	6672.257099
382	6651.584211
383	6635.61905
384	6620.611809
385	6605.995412
386	6584.386269
387	6555.539872
388	6543.635071
389	6527.681669
390	6512.657953
391	6488.311876
392	6467.198555
393	6457.700988
394	6456.235252
395	6448.605413
396	6436.12342
397	6415.688129
398	6388.419329
399	6366.714068
400	6350.085812
401	6330.07599
402	6324.558667
403	6322.918429
404	6309.176658
405	6294.147118
406	6285.639435
407	6258.474508
408	6251.560942
409	6250.610521
410	6233.618448
411	6230.650979
412	6205.281506
413	6186.374745
414	6164.492435
415	6161.096802
416	6159.934108
417	6141.934765
418	6124.30125
419	6113.943881
420	6103.643835
421	6083.933784
422	6070.38064
423	6055.937281
424	6033.814502
425	6015.543387
426	6003.766032
427	5994.019703
428	5980.55396
429	5958.621759
430	5947.436883
431	5923.333557
432	5914.207126
433	5899.562603
434	5894.939842
435	5877.178187
436	5856.308622
437	5846.978126
438	5845.973351
439	5839.132382
440	5817.959344
441	5805.300024
442	5786.584622
443	5772.478344
444	5757.088397
445	5732.378302
446	5716.58025
447	5698.918477
448	5696.972795
449	5696.270227
450	5687.651067
451	5674.983702
452	5663.281254
453	5644.433171
454	5633.166143
455	5620.443323
456	5599.250992
457	5586.589716
458	5569.185352
459	5559.662081
460	5539.628362
461	5524.352938
462	5510.509954
463	5487.835734
464	5476.989079
465	5461.6055
466	5456.554198
467	5445.513744
468	5429.389217
469	5407.964054
470	5393.854548
471	5379.636676
472	5358.561821
473	5356.022402
474	5341.6468
475	5325.865577
476	5306.535582
477	5296.395753
478	5276.199865
479	5261.548566
480	5260.234217
481	5254.871005
482	5243.104936
483	5229.643322
484	5217.452044
485	5200.706591
486	5188.133005
487	5173.625897
488	5162.049896
489	5148.220321
490	5129.292026
491	5115.935006
492	5104.94282
493	5096.336698
494	5084.365322
495	5082.170508
496	5067.669026
497	5059.025705
498	5058.478147
499	5046.035855
500	5037.218766
501	5027.632793
502	5023.502053
503	5011.191041
504	4999.278922
505	4992.057678
506	4981.118314
507	4968.847206
508	4965.905153
509	4955.648457
510	4954.949419
511	4945.55991
512	4927.908548
513	4922.726895
514	4911.786506
515	4893.96043
516	4881.639089
517	4869.66053
518	4864.281823
519	4848.538082
520	4838.49557
521	4837.742446
522	4825.210329
523	4814.845984
524	4811.276088
525	4799.172592
526	4792.959189
527	4789.615494
528	4777.5302
529	4772.440833
530	4751.407328
531	4736.434901
532	4728.969297
533	4709.422933
534	4702.515731
535	4690.087514
536	4682.094012
537	4668.826669
538	4661.22647
539	4646.441775
540	4630.300445
541	4620.869156
542	4608.69595
543	4602.705636
544	4596.08223
545	4575.577731
546	4563.328686
547	4548.368083
548	4530.856747
549	4519.220894
550	4509.070922
551	4489.517179
552	4481.193673
553	4467.880973
554	4458.007638
555	4446.562145
556	4434.561204
557	4423.792493
558	4417.004916
559	4407.82046
560	4389.754442
561	4389.090708
562	4385.113737
563	4384.547191
564	4383.365663
565	4374.793569
566	4361.868564
567	4357.079029
568	4346.664305
569	4338.24577
570	4335.382619
571	4320.28145
572	4311.728986
573	4311.260951
574	4305.126689
575	4297.563825
576	4289.71513
577	4289.352264
578	4280.188402
579	4264.501284
580	4247.384302
581	4246.913898
582	4237.773147
583	4230.059902
584	4222.455023
585	4210.822238
586	4209.268481
587	4194.186429
588	4182.318931
589	4171.872409
590	4168.955208
591	4160.422006
592	4149.28501
593	4135.455615
594	4127.481854
595	4116.827357
596	4112.581368
597	4098.895379
598	4088.974983
599	4082.167789
600	4069.361396
601	4061.746394
602	4058.787877
603	4049.482175
604	4041.465727
605	4027.297988
606	4016.001588
607	4008.278948
608	3997.985522
609	3990.930175
610	3985.945059
611	3982.386259
612	3969.502649
613	3959.442973
614	3958.81406
615	3952.192076
616	3945.694032
617	3935.891166
618	3929.209951
619	3922.664551
620	3917.415583
621	3901.617403
622	3895.237337
623	3886.006078
624	3882.359449
625	3873.136166
626	3866.449187
627	3857.864366
628	3850.866757
629	3844.612366
630	3839.587248
631	3830.477059
632	3821.563057
633	3814.863314
634	3803.201042
635	3795.834588
636	3793.874456
637	3788.515679
638	3788.126348
639	3779.309871
640	3773.019777
641	3772.713709
642	3762.093225
643	3757.116819
644	3746.569533
645	3734.722071
646	3730.816551
647	3716.102366
648	3707.250517
649	3704.609462
650	3699.850335
651	3692.570241
652	3684.673332
653	3679.71227
654	3671.595502
655	3661.639705
656	3653.014763
657	3649.576604
658	3648.514202
659	3636.154825
660	3628.81135
661	3625.195645
662	3624.936875
663	3620.186468
664	3614.939526
665	3600.300984
666	3594.314807
667	3589.825758
668	3585.804818
669	3585.366484
670	3578.512595
671	3571.654836
672	3563.135451
673	3555.854851
674	3547.646848
675	3541.881456
676	3529.640965
677	3524.375076
678	3521.045438
679	3517.205186
680	3508.088446
681	3504.122006
682	3497.152265
683	3496.644983
684	3489.825482
685	3485.518455
686	3474.95828
687	3465.404443
688	3460.330761
689	3448.150832
690	3439.536671
691	3431.680721
692	3428.765805
693	3420.562846
694	3412.121872
695	3401.512575
696	3395.324233
697	3390.01672
698	3383.402562
699	3376.863892
700	3367.22363
701	3362.573912
702	3354.589422
703	3354.177735
704	3349.512219
705	3344.773374
706	3340.882788
707	3328.452245
708	3322.106404
709	3314.852085
710	3312.323477
711	3311.949434
712	3307.452923
713	3303.109992
714	3296.4993
715	3291.060978
716	3285.542735
717	3280.300732
718	3275.76797
719	3272.362134
720	3265.868102
721	3265.575752
722	3265.358497
723	3264.737411
724	3259.144105
725	3248.824321
726	3242.59734
727	3235.076451
728	3227.597447
729	3223.086616
730	3218.562826
731	3217.825881
732	3209.65464
733	3200.458379
734	3188.445866
735	3180.515493
736	3175.734702
737	3169.015495
738	3162.540446
739	3159.429849
740	3158.528459
741	3150.283233
742	3141.217326
743	3140.825118
744	3140.555667
745	3132.477239
746	3126.120999
747	3122.056487
748	3117.996474
749	3116.603481
750	3113.688934
751	3112.608927
752	3105.618284
753	3098.669931
754	3091.920128
755	3084.413224
756	3080.45821
757	3071.54011
758	3062.432209
759	3055.330616
760	3047.315671
761	3046.990354
762	3046.630285
763	3045.072466
764	3038.793504
765	3033.399928
766	3029.379125
767	3022.602811
768	3015.374268
769	3010.626261
770	2996.72103
771	2991.841045
772	2986.603929
773	2974.80925
774	2962.870423
775	2956.699701
776	2950.886028
777	2943.969525
778	2942.372936
779	2938.332991
780	2933.754281
781	2924.908683
782	2919.210771
783	2914.030818
784	2909.170406
785	2898.221713
786	2891.321395
787	2884.916507
788	2884.209246
789	2882.427166
790	2874.967427
791	2869.143204
792	2868.846596
793	2861.150503
794	2855.813716
795	2847.294707
796	2840.965822
797	2835.196074
798	2831.260452
799	2825.245479
800	2816.407682
801	2808.939248
802	2803.013381
803	2799.820738
804	2794.3988
805	2791.166729
806	2783.133938
807	2782.559255
808	2778.475607
809	2773.97797
810	2766.481923
811	2763.684348
812	2759.157177
813	2747.976878
814	2747.804234
815	2743.577009
816	2737.429838
817	2737.211762
818	2734.024973
819	2733.775796
820	2731.861863
821	2729.724005
822	2724.828423
823	2720.103839
824	2714.0804
825	2707.924729
826	2705.386459
827	2699.954793
828	2692.635679
829	2687.471379
830	2686.679893
831	2680.43001
832	2674.560864
833	2666.595903
834	2660.881177
835	2658.390625
836	2653.186501
837	2651.504285
838	2647.828837
839	2645.614207
840	2642.139724
841	2635.606511
842	2628.146424
843	2620.761064
844	2619.033623
845	2613.405233
846	2609.744906
847	2605.618634
848	2602.41189
849	2596.605522
850	2591.725312
851	2591.128985
852	2580.963749
853	2573.819174
854	2570.048621
855	2568.530299
856	2563.60877
857	2561.671746
858	2556.193703
859	2550.881758
860	2549.546445
861	2546.026913
862	2537.501849
863	2537.354602
864	2533.368447
865	2528.130332
866	2522.949945
867	2514.305688
868	2509.936192
869	2503.303656
870	2500.700727
871	2497.241977
872	2487.605573
873	2483.574184
874	2480.28657
875	2474.582575
876	2473.282473
877	2469.892372
878	2465.742623
879	2461.699654
880	2461.169554
881	2456.761901
882	2451.924997
883	2449.47153
884	2443.674594
885	2443.404365
886	2441.900026
887	2434.708621
888	2432.714816
889	2428.492344
890	2421.151931
891	2421.03051
892	2418.098652
893	2412.542961
894	2408.786747
895	2404.273803
896	2395.619611
897	2388.516749
898	2385.500551
899	2380.440627
900	2372.988645
901	2369.22706
902	2363.42011
903	2360.116797
904	2356.428512
905	2350.52414
906	2349.148855
907	2347.580129
908	2343.697949
909	2343.432201
910	2337.605499
911	2335.107612
912	2333.1279
913	2326.506049
914	2319.397755
915	2313.678391
916	2306.661181
917	2300.435632
918	2298.053157
919	2293.048096
920	2289.951221
921	2289.694247
922	2284.61535
923	2281.995599
924	2280.33299
925	2272.595799
926	2272.387295
927	2269.846993
928	2266.947528
929	2266.79959
930	2262.361261
931	2255.480187
932	2252.314779
933	2244.373414
934	2241.49094
935	2241.303492
936	2236.375597
937	2236.158469
938	2233.24805
939	2231.827794
940	2227.848764
941	2227.682962
942	2221.897582
943	2216.450498
944	2213.749987
945	2207.162034
946	2200.932727
947	2197.835721
948	2192.226711
949	2190.908716
950	2187.963718
951	2184.100201
952	2178.200088
953	2175.419864
954	2173.589675
