iter	Passed	Remaining
0	4	4190
1	7	3667
2	10	3555
3	13	3302
4	15	3150
5	18	3055
6	21	2979
7	23	2894
8	25	2829
9	35	3496
10	38	3460
11	42	3473
12	44	3396
13	47	3358
14	50	3288
15	52	3241
16	55	3222
17	59	3262
18	63	3272
19	66	3278
20	69	3248
21	72	3228
22	74	3184
23	77	3148
24	80	3151
25	85	3202
26	89	3208
27	91	3180
28	94	3159
29	97	3162
30	100	3133
31	102	3104
32	105	3081
33	108	3070
34	111	3063
35	113	3043
36	116	3021
37	118	3002
38	122	3018
39	125	3014
40	128	3008
41	131	3008
42	136	3041
43	140	3059
44	143	3054
45	147	3055
46	151	3067
47	155	3074
48	158	3078
49	163	3113
50	167	3111
51	170	3104
52	174	3120
53	177	3107
54	179	3091
55	183	3088
56	187	3101
57	190	3092
58	193	3087
59	196	3074
60	201	3095
61	204	3086
62	206	3074
63	209	3057
64	212	3061
65	216	3070
66	220	3065
67	224	3075
68	227	3074
69	231	3070
70	234	3063
71	236	3052
72	239	3036
73	241	3021
74	243	3006
75	246	2994
76	249	2985
77	252	2981
78	257	3001
79	259	2988
80	263	2988
81	265	2977
82	268	2965
83	270	2951
84	274	2950
85	277	2948
86	280	2939
87	282	2931
88	284	2910
89	287	2905
90	289	2896
91	293	2893
92	297	2899
93	300	2898
94	303	2895
95	306	2890
96	309	2884
97	313	2881
98	316	2876
99	318	2866
100	320	2855
101	324	2856
102	328	2861
103	331	2853
104	333	2844
105	336	2838
106	341	2850
107	345	2852
108	348	2844
109	351	2841
110	353	2833
111	356	2825
112	359	2821
113	362	2819
114	365	2816
115	368	2808
116	371	2802
117	376	2814
118	379	2811
119	382	2805
120	385	2801
121	391	2821
122	395	2822
123	399	2819
124	402	2818
125	406	2819
126	409	2814
127	411	2806
128	415	2805
129	418	2797
130	421	2794
131	423	2785
132	426	2781
133	429	2773
134	432	2769
135	435	2764
136	437	2756
137	440	2753
138	443	2744
139	445	2735
140	447	2728
141	450	2723
142	453	2720
143	456	2713
144	459	2707
145	461	2702
146	465	2699
147	468	2694
148	470	2686
149	472	2678
150	474	2669
151	478	2668
152	480	2661
153	483	2655
154	486	2652
155	489	2649
156	492	2643
157	494	2637
158	497	2632
159	501	2632
160	504	2631
161	509	2636
162	513	2634
163	519	2646
164	522	2645
165	525	2639
166	529	2641
167	533	2640
168	536	2636
169	538	2631
170	543	2633
171	547	2634
172	550	2632
173	555	2638
174	558	2632
175	561	2627
176	564	2623
177	567	2622
178	570	2616
179	573	2612
180	576	2608
181	581	2611
182	583	2604
183	585	2598
184	588	2591
185	591	2587
186	594	2583
187	597	2578
188	599	2572
189	602	2567
190	605	2566
191	608	2561
192	612	2559
193	614	2553
194	617	2550
195	620	2544
196	622	2538
197	625	2535
198	629	2534
199	632	2530
200	635	2525
201	637	2519
202	640	2513
203	644	2514
204	647	2509
205	649	2505
206	652	2499
207	655	2495
208	658	2493
209	662	2493
210	665	2489
211	670	2492
212	673	2488
213	676	2484
214	679	2479
215	681	2474
216	684	2468
217	686	2463
218	689	2459
219	692	2455
220	695	2452
221	698	2447
222	701	2442
223	703	2436
224	707	2437
225	709	2430
226	712	2425
227	714	2419
228	717	2416
229	720	2412
230	723	2407
231	725	2403
232	728	2398
233	732	2396
234	734	2391
235	737	2386
236	739	2380
237	741	2374
238	745	2372
239	747	2367
240	749	2361
241	752	2358
242	756	2355
243	758	2350
244	761	2345
245	763	2340
246	765	2334
247	769	2331
248	771	2328
249	774	2323
250	777	2320
251	779	2315
252	782	2311
253	785	2307
254	787	2301
255	790	2296
256	794	2296
257	797	2294
258	800	2291
259	803	2286
260	806	2284
261	809	2281
262	812	2276
263	815	2273
264	818	2270
265	821	2267
266	824	2262
267	826	2257
268	829	2252
269	832	2250
270	835	2246
271	838	2243
272	840	2238
273	843	2234
274	845	2230
275	848	2226
276	851	2222
277	853	2217
278	857	2215
279	860	2212
280	863	2209
281	866	2205
282	868	2201
283	871	2197
284	874	2192
285	876	2188
286	879	2184
287	882	2181
288	884	2176
289	886	2171
290	889	2166
291	891	2162
292	895	2160
293	897	2156
294	900	2151
295	902	2145
296	904	2141
297	907	2138
298	910	2134
299	912	2130
300	915	2125
301	917	2120
302	920	2117
303	923	2114
304	927	2112
305	929	2109
306	934	2110
307	937	2107
308	940	2104
309	943	2101
310	947	2098
311	949	2094
312	952	2091
313	955	2087
314	958	2085
315	961	2081
316	963	2076
317	966	2071
318	968	2067
319	970	2063
320	974	2061
321	977	2058
322	980	2054
323	983	2052
324	986	2048
325	988	2044
326	991	2040
327	994	2036
328	998	2035
329	1000	2031
330	1002	2026
331	1005	2023
332	1008	2019
333	1011	2016
334	1014	2013
335	1016	2009
336	1019	2005
337	1023	2003
338	1025	2000
339	1028	1995
340	1030	1991
341	1033	1987
342	1037	1986
343	1039	1982
344	1042	1979
345	1044	1974
346	1048	1972
347	1050	1968
348	1053	1965
349	1056	1962
350	1060	1960
351	1063	1957
352	1065	1953
353	1068	1950
354	1072	1947
355	1075	1944
356	1077	1941
357	1080	1937
358	1083	1934
359	1088	1935
360	1091	1932
361	1094	1928
362	1098	1927
363	1101	1924
364	1104	1920
365	1106	1916
366	1109	1913
367	1111	1909
368	1114	1906
369	1117	1902
370	1120	1899
371	1123	1896
372	1125	1892
373	1128	1888
374	1130	1884
375	1134	1882
376	1136	1878
377	1139	1874
378	1141	1870
379	1143	1866
380	1146	1863
381	1149	1860
382	1152	1856
383	1155	1853
384	1158	1850
385	1163	1851
386	1166	1846
387	1168	1842
388	1170	1838
389	1174	1837
390	1177	1834
391	1181	1832
392	1183	1828
393	1186	1825
394	1189	1821
395	1192	1818
396	1194	1814
397	1198	1812
398	1200	1808
399	1202	1804
400	1205	1800
401	1208	1798
402	1212	1796
403	1215	1793
404	1218	1789
405	1220	1785
406	1223	1782
407	1227	1781
408	1230	1778
409	1233	1774
410	1237	1773
411	1240	1770
412	1243	1767
413	1246	1763
414	1250	1762
415	1252	1758
416	1255	1754
417	1257	1751
418	1260	1747
419	1263	1744
420	1265	1740
421	1268	1737
422	1270	1733
423	1274	1731
424	1277	1727
425	1279	1724
426	1282	1720
427	1284	1717
428	1288	1714
429	1290	1710
430	1293	1707
431	1295	1703
432	1298	1699
433	1301	1697
434	1304	1694
435	1307	1691
436	1310	1688
437	1313	1685
438	1316	1681
439	1318	1678
440	1321	1674
441	1323	1670
442	1326	1668
